checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, accelworld x,accelworld y,accelworld z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,filteredvvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,14457,14374,1,1,-0.229873,-0.603531,9.948780,2.929727,-6.045148,-17.167694,-0.144413,-0.377297,-0.522892,8.237502,41.992790,0.526162,585.000000,3824.000000,36.000000,52.984622,20.056536,-106.511876,0.589487,0.137901,0.445223,-0.659746,1961.323364,80674.085938,-0.142476,-0.903445,0.351562,0.012329,0.016624,0.000000,0.000000,0,202
101,14623,14565,1,1,-0.195624,-0.571215,9.892284,3.109881,-6.284118,-16.805309,-0.757701,-0.422525,-0.045780,8.426940,41.889812,0.628471,616.000000,3806.000000,43.000000,50.190265,21.175308,-105.695600,0.599726,0.119159,0.432777,-0.662446,1961.318848,80673.500000,-0.092801,-0.131366,0.351562,0.007812,0.010579,0.000000,0.000000,0,202
101,14706,14698,1,1,-0.207058,-0.541840,9.886678,3.284009,-6.572625,-16.441689,-0.008554,-0.685612,0.495559,8.457495,42.090050,0.292312,621.000000,3841.000000,20.000000,47.368984,22.106715,-104.740650,0.609751,0.101660,0.419432,-0.664790,1961.253906,80675.562500,-0.101939,-0.961253,0.351562,-0.057129,-0.006770,0.000000,0.000000,0,202
101,14798,14698,1,1,-0.207058,-0.541840,9.886678,3.284009,-6.572625,-16.441689,-0.008554,-0.685612,0.495559,8.457495,42.090050,0.292312,621.000000,3841.000000,20.000000,47.368984,22.106715,-104.740650,0.609751,0.101660,0.419432,-0.664790,1961.253906,80675.562500,-0.101939,-0.961253,0.351562,-0.057129,-0.006770,0.000000,0.000000,0,202
101,14974,14903,1,1,-0.236034,-0.556947,9.886414,3.378903,-6.837946,-16.120224,0.540907,1.585387,0.695559,8.463606,41.895531,0.467699,622.000000,3807.000000,32.000000,44.972947,22.764544,-103.838724,0.618083,0.087719,0.407601,-0.666438,1961.242432,80674.421875,-0.100158,-0.115259,0.351562,-0.068604,-0.061616,0.000000,0.000000,0,202
101,15123,15030,1,1,-0.181721,-0.553708,9.864157,3.457460,-7.014600,-15.841080,0.827087,2.569186,0.866647,8.610268,41.746784,-0.160772,646.000000,3781.000000,-11.000000,42.595368,23.386388,-102.949351,0.625869,0.073809,0.395871,-0.667927,1961.226440,80674.687500,-0.141417,-0.964388,0.351562,-0.084595,-0.075929,0.000000,0.000000,0,202
101,15297,15227,1,1,0.006323,-0.638723,9.861732,3.043194,-6.980554,-16.099619,9.611937,15.979472,10.746643,8.885259,40.968716,3.858521,691.000000,3645.000000,264.000000,42.771515,21.580179,-101.095686,0.633933,0.093008,0.387354,-0.662899,1961.219482,80674.546875,-0.155821,-0.136194,0.351562,-0.091553,-0.088906,0.000000,0.000000,0,202
101,15390,15353,1,1,0.532753,-0.955694,9.734721,2.369596,-6.657543,-16.585108,11.456109,28.913475,6.190880,9.184692,40.390884,6.328559,740.000000,3544.000000,433.000000,43.470138,20.098906,-100.856103,0.632488,0.107344,0.384329,-0.663873,1961.200195,80675.031250,-0.182740,-1.007437,0.351562,-0.110840,-0.105904,0.000000,0.000000,0,202
101,15484,15353,1,1,0.532753,-0.955694,9.734721,2.369596,-6.657543,-16.585108,11.456109,28.913475,6.190880,9.184692,40.390884,6.328559,740.000000,3544.000000,433.000000,43.470138,20.098906,-100.856103,0.632488,0.107344,0.384329,-0.663873,1961.200195,80675.031250,-0.182740,-1.007437,0.351562,-0.110840,-0.105904,0.000000,0.000000,0,202
101,15666,15644,1,1,2.892250,-1.002127,9.258515,1.388425,-3.873199,-18.641819,-10.786084,77.541929,2.124707,8.738596,37.759182,14.732533,667.000000,3084.000000,1008.000000,50.827389,18.562352,-103.385104,0.606879,0.148231,0.422644,-0.656580,1961.291870,80672.125000,-0.080098,-0.597336,0.351562,-0.019165,-0.096940,0.000000,0.000000,0,202
101,15761,15644,1,1,2.892250,-1.002127,9.258515,1.388425,-3.873199,-18.641819,-10.786084,77.541929,2.124707,8.738596,37.759182,14.732533,667.000000,3084.000000,1008.000000,50.827389,18.562352,-103.385104,0.606879,0.148231,0.422644,-0.656580,1961.291870,80672.125000,-0.080098,-0.597336,0.351562,-0.019165,-0.096940,0.000000,0.000000,0,202
101,15859,15844,1,1,4.584142,-0.742265,8.638679,0.716274,0.810119,-19.548962,-9.784853,79.669335,-1.008390,9.306911,34.526768,20.461853,760.000000,2519.000000,1400.000000,69.682287,18.253334,-107.618168,0.551627,0.228006,0.532106,-0.600487,1961.283447,80673.945312,-0.012224,-1.361243,0.351562,-0.027588,-0.214752,0.000000,0.000000,0,202
101,16095,16038,1,1,6.471972,-0.698015,7.080821,-1.309321,5.595454,-17.513863,-8.500079,82.831801,1.539824,9.349688,31.477427,24.364222,767.000000,1986.000000,1667.000000,88.913470,13.664062,-111.972448,0.465508,0.318617,0.623915,-0.540847,1961.419922,80669.195312,0.082884,-0.005967,0.351562,0.108887,0.097399,0.000000,0.000000,0,202
101,16222,16212,1,1,7.965531,-0.340086,5.452705,-2.753457,8.699664,-12.968280,-0.249661,107.801046,14.804182,8.983033,26.494356,26.030401,707.000000,1115.000000,1781.000000,108.543194,5.955096,-112.299669,0.359852,0.426386,0.690179,-0.460820,1961.294434,80675.726562,0.099513,0.955947,0.351562,-0.016602,0.096373,0.000000,0.000000,0,202
101,16292,16212,1,1,7.965531,-0.340086,5.452705,-2.753457,8.699664,-12.968280,-0.249661,107.801046,14.804182,8.983033,26.494356,26.030401,707.000000,1115.000000,1781.000000,108.543194,5.955096,-112.299669,0.359852,0.426386,0.690179,-0.460820,1961.294434,80675.726562,0.099513,0.955947,0.351562,-0.016602,0.096373,0.000000,0.000000,0,202
101,16448,16395,1,1,9.426835,-0.035805,2.594953,-3.256106,8.863451,-7.263818,4.571972,73.391373,14.944993,8.402496,23.267660,26.805029,612.000000,551.000000,1834.000000,122.252955,-0.186736,-109.934285,0.276025,0.503329,0.716581,-0.396210,1961.281982,80674.054688,0.098695,0.048052,0.351562,-0.029053,-0.017827,0.000000,0.000000,0,202
101,16522,16395,1,1,9.426835,-0.035805,2.594953,-3.256106,8.863451,-7.263818,4.571972,73.391373,14.944993,8.402496,23.267660,26.805029,612.000000,551.000000,1834.000000,122.252955,-0.186736,-109.934285,0.276025,0.503329,0.716581,-0.396210,1961.281982,80674.054688,0.098695,0.048052,0.351562,-0.029053,-0.017827,0.000000,0.000000,0,202
101,16597,16578,1,1,9.639457,0.151861,0.999166,-2.776099,7.441142,-4.245534,5.319466,49.946489,11.774248,8.274167,21.379702,25.884243,591.000000,221.000000,1771.000000,131.637239,-4.326059,-107.218882,0.215136,0.553287,0.724661,-0.349939,1961.204834,80676.328125,-0.000569,1.654446,0.351562,-0.106201,-0.009118,0.000000,0.000000,0,202
101,16760,16715,1,1,9.888019,0.295863,-0.047696,-2.587132,6.591987,-2.893383,1.611221,16.072605,-1.174412,8.463606,21.511286,25.635778,622.000000,244.000000,1754.000000,134.574766,-5.434160,-106.971814,0.194340,0.562972,0.729661,-0.335990,1961.271118,80672.320312,-0.035150,0.005109,0.351562,-0.039917,-0.037935,0.000000,0.000000,0,202
101,16840,16715,1,1,9.888019,0.295863,-0.047696,-2.587132,6.591987,-2.893383,1.611221,16.072605,-1.174412,8.463606,21.511286,25.635778,622.000000,244.000000,1754.000000,134.574766,-5.434160,-106.971814,0.194340,0.562972,0.729661,-0.335990,1961.271118,80672.320312,-0.035150,0.005109,0.351562,-0.039917,-0.037935,0.000000,0.000000,0,202
101,17071,17034,1,1,9.920074,0.030643,-0.261402,-2.913908,6.064253,-2.506405,-0.877678,3.114725,-1.400292,8.909702,21.476961,25.358084,695.000000,238.000000,1735.000000,136.845367,-5.927562,-107.517614,0.178342,0.564357,0.737771,-0.324637,1961.176392,80675.031250,-0.161663,-0.080967,0.351562,-0.134644,-0.125963,0.000000,0.000000,0,202
101,17151,17034,1,1,9.920074,0.030643,-0.261402,-2.913908,6.064253,-2.506405,-0.877678,3.114725,-1.400292,8.909702,21.476961,25.358084,695.000000,238.000000,1735.000000,136.845367,-5.927562,-107.517614,0.178342,0.564357,0.737771,-0.324637,1961.176392,80675.031250,-0.161663,-0.080967,0.351562,-0.134644,-0.125963,0.000000,0.000000,0,202
101,17234,17225,1,1,9.916266,-0.017840,-0.274772,-2.906241,5.861594,-2.344216,-1.316070,3.140784,-0.242348,8.897480,21.488403,25.285006,677.000000,233.000000,1730.000000,138.276128,-6.119528,-107.218110,0.170829,0.568908,0.739864,-0.315854,1961.135620,80676.179688,-0.187774,1.064304,0.351562,-0.175415,-0.141254,0.000000,0.000000,0,202
101,17406,17362,1,1,9.931684,-0.040560,-0.307442,-2.918573,5.710175,-2.210853,-0.064977,1.203718,-1.860357,8.921924,21.671476,25.065771,705.000000,275.000000,1715.000000,139.199515,-6.406251,-107.174629,0.164444,0.571172,0.741548,-0.311170,1961.179199,80673.773438,-0.145514,-0.114282,0.351562,-0.131836,-0.131309,0.000000,0.000000,0,202
101,17491,17362,1,1,9.931684,-0.040560,-0.307442,-2.918573,5.710175,-2.210853,-0.064977,1.203718,-1.860357,8.921924,21.671476,25.065771,705.000000,275.000000,1715.000000,139.199515,-6.406251,-107.174629,0.164444,0.571172,0.741548,-0.311170,1961.179199,80673.773438,-0.145514,-0.114282,0.351562,-0.131836,-0.131309,0.000000,0.000000,0,202
101,17581,17549,1,1,9.889761,-0.056560,-0.319370,-2.933806,5.585525,-2.178188,-0.600565,-1.043713,-1.932172,9.111362,21.488403,25.489622,728.000000,240.000000,1744.000000,139.794110,-6.486144,-107.263804,0.160704,0.571610,0.743426,-0.307821,1961.208984,80673.796875,-0.133312,0.942872,0.351562,-0.102051,-0.152467,0.000000,0.000000,0,202
101,17758,17696,1,1,9.898187,-0.117069,-0.310391,-2.959640,5.488416,-2.106718,0.811072,-0.292605,-0.627505,8.976923,21.551334,24.992693,706.000000,251.000000,1710.000000,140.451803,-6.830101,-107.073303,0.155623,0.574479,0.743494,-0.304915,1961.192139,80675.054688,-0.089899,-0.101697,0.351562,-0.118896,-0.120008,0.000000,0.000000,0,202
101,17848,17821,1,1,9.885973,-0.122203,-0.327647,-2.900954,5.389835,-2.029971,-0.043797,-0.764560,0.505617,8.946368,21.562777,25.328850,701.000000,253.000000,1733.000000,141.084128,-7.031312,-106.733146,0.151995,0.577947,0.743025,-0.301312,1961.181030,80672.429688,-0.065559,0.570821,0.351562,-0.130005,-0.132469,0.000000,0.000000,0,202
101,18084,18015,1,1,9.891396,-0.131918,-0.332419,-2.840636,5.319441,-1.952309,-1.108631,-0.651500,0.795992,8.903591,21.568497,25.226542,694.000000,254.000000,1726.000000,141.733652,-7.012353,-106.300782,0.149964,0.581567,0.742572,-0.296441,1961.240112,80672.796875,-0.008773,-0.053736,0.351562,-0.070923,-0.075267,0.000000,0.000000,0,202
101,18177,18139,1,1,9.919073,-0.104051,-0.376586,-2.769490,5.191049,-1.805777,-0.163395,1.445225,-0.273913,8.964701,21.551334,25.051155,704.000000,251.000000,1714.000000,142.599911,-7.256647,-106.034438,0.144603,0.584883,0.742925,-0.291659,1961.258301,80673.570312,0.027224,0.593783,0.351562,-0.052734,-0.081808,0.000000,0.000000,0,202
101,18271,18139,1,1,9.919073,-0.104051,-0.376586,-2.769490,5.191049,-1.805777,-0.163395,1.445225,-0.273913,8.964701,21.551334,25.051155,704.000000,251.000000,1714.000000,142.599911,-7.256647,-106.034438,0.144603,0.584883,0.742925,-0.291659,1961.258301,80673.570312,0.027224,0.593783,0.351562,-0.052734,-0.081808,0.000000,0.000000,0,202
101,18452,18426,1,1,10.018125,-0.155089,-0.248064,-2.924151,5.158895,-1.721176,-0.643289,-9.395928,-1.740867,9.300800,22.071953,25.665009,759.000000,342.000000,1756.000000,143.836681,-6.882956,-106.388078,0.139921,0.583411,0.748594,-0.282245,1961.352783,80671.250000,0.128463,0.400588,0.351562,0.041748,-0.038992,0.000000,0.000000,0,202
101,18597,18426,1,1,10.018125,-0.155089,-0.248064,-2.924151,5.158895,-1.721176,-0.643289,-9.395928,-1.740867,9.300800,22.071953,25.665009,759.000000,342.000000,1756.000000,143.836681,-6.882956,-106.388078,0.139921,0.583411,0.748594,-0.282245,1961.352783,80671.250000,0.128463,0.400588,0.351562,0.041748,-0.038992,0.000000,0.000000,0,202
101,18750,18735,1,1,9.978281,-0.215877,0.725296,-3.127195,6.569995,-2.931170,4.208030,-29.932068,0.605210,9.135806,24.715097,26.410406,732.000000,804.000000,1807.000000,138.659944,-6.103051,-106.659763,0.170557,0.573044,0.738170,-0.312469,1961.409180,80672.820312,0.256219,0.551932,0.351562,0.098145,0.107832,0.000000,0.000000,0,202
101,18820,18735,1,1,9.978281,-0.215877,0.725296,-3.127195,6.569995,-2.931170,4.208030,-29.932068,0.605210,9.135806,24.715097,26.410406,732.000000,804.000000,1807.000000,138.659944,-6.103051,-106.659763,0.170557,0.573044,0.738170,-0.312469,1961.409180,80672.820312,0.256219,0.551932,0.351562,0.098145,0.107832,0.000000,0.000000,0,202
101,18948,18735,1,1,9.978281,-0.215877,0.725296,-3.127195,6.569995,-2.931170,4.208030,-29.932068,0.605210,9.135806,24.715097,26.410406,732.000000,804.000000,1807.000000,138.659944,-6.103051,-106.659763,0.170557,0.573044,0.738170,-0.312469,1961.409180,80672.820312,0.256219,0.551932,0.351562,0.098145,0.107832,0.000000,0.000000,0,202
101,19102,19089,1,1,9.084380,-0.479682,3.814770,-3.438236,9.136503,-8.382772,0.129203,-73.886200,-3.723014,8.891369,31.935116,24.788074,692.000000,2066.000000,1696.000000,122.447834,-1.858640,-108.356826,0.270175,0.519251,0.706048,-0.398599,1961.322754,80674.492188,0.196337,0.828092,0.351562,0.011719,0.078165,0.000000,0.000000,0,202
101,19175,19089,1,1,9.084380,-0.479682,3.814770,-3.438236,9.136503,-8.382772,0.129203,-73.886200,-3.723014,8.891369,31.935116,24.788074,692.000000,2066.000000,1696.000000,122.447834,-1.858640,-108.356826,0.270175,0.519251,0.706048,-0.398599,1961.322754,80674.492188,0.196337,0.828092,0.351562,0.011719,0.078165,0.000000,0.000000,0,202
101,19251,19089,1,1,9.084380,-0.479682,3.814770,-3.438236,9.136503,-8.382772,0.129203,-73.886200,-3.723014,8.891369,31.935116,24.788074,692.000000,2066.000000,1696.000000,122.447834,-1.858640,-108.356826,0.270175,0.519251,0.706048,-0.398599,1961.322754,80674.492188,0.196337,0.828092,0.351562,0.011719,0.078165,0.000000,0.000000,0,202
101,19414,19410,1,1,5.605614,-0.548456,7.768777,-1.173626,6.408142,-16.846277,-13.912063,-94.995330,7.204001,7.357531,39.046429,14.674072,441.000000,3309.000000,1004.000000,98.910428,6.501450,-105.936944,0.425260,0.427489,0.627853,-0.492145,1961.190674,80676.898438,-0.113647,0.772376,0.351562,-0.120361,-0.007245,0.000000,0.000000,0,202
101,19492,19410,1,1,5.605614,-0.548456,7.768777,-1.173626,6.408142,-16.846277,-13.912063,-94.995330,7.204001,7.357531,39.046429,14.674072,441.000000,3309.000000,1004.000000,98.910428,6.501450,-105.936944,0.425260,0.427489,0.627853,-0.492145,1961.190674,80676.898438,-0.113647,0.772376,0.351562,-0.120361,-0.007245,0.000000,0.000000,0,202
101,19574,19410,1,1,5.605614,-0.548456,7.768777,-1.173626,6.408142,-16.846277,-13.912063,-94.995330,7.204001,7.357531,39.046429,14.674072,441.000000,3309.000000,1004.000000,98.910428,6.501450,-105.936944,0.425260,0.427489,0.627853,-0.492145,1961.190674,80676.898438,-0.113647,0.772376,0.351562,-0.120361,-0.007245,0.000000,0.000000,0,202
101,19742,19736,1,1,1.494015,0.495020,9.631599,4.095956,-0.236612,-18.656054,-13.113996,-30.119502,-2.003381,6.062018,42.925327,3.887752,229.000000,3987.000000,266.000000,78.331724,23.883409,-100.490319,0.585557,0.271815,0.577627,-0.499586,1961.150146,80676.070312,-0.351992,0.097734,0.351562,-0.160889,-0.114152,0.000000,0.000000,0,202
101,19887,19736,1,1,1.494015,0.495020,9.631599,4.095956,-0.236612,-18.656054,-13.113996,-30.119502,-2.003381,6.062018,42.925327,3.887752,229.000000,3987.000000,266.000000,78.331724,23.883409,-100.490319,0.585557,0.271815,0.577627,-0.499586,1961.150146,80676.070312,-0.351992,0.097734,0.351562,-0.160889,-0.114152,0.000000,0.000000,0,202
101,20058,19982,1,1,1.175708,0.786753,9.860025,5.083304,-0.784213,-18.258074,-0.929886,-3.969802,1.047809,5.842025,42.479080,4.516223,193.000000,3909.000000,309.000000,75.890519,28.095461,-98.639905,0.611854,0.243668,0.577149,-0.482867,1961.094238,80677.242188,-0.460343,-0.225963,0.351562,-0.216797,-0.145064,0.000000,0.000000,0,202
101,20144,20059,1,1,1.175708,0.786753,9.860025,5.619660,-0.927529,-17.972933,-0.929886,-3.969802,1.047809,5.842025,42.479080,4.516223,193.000000,3909.000000,309.000000,74.650156,31.035577,-97.539186,0.627006,0.225062,0.579602,-0.469332,1961.094238,80677.242188,-0.460343,-0.285572,0.351562,-0.216797,-0.162240,0.000000,0.000000,0,202
101,20231,20059,1,1,1.175708,0.786753,9.860025,5.619660,-0.927529,-17.972933,-0.929886,-3.969802,1.047809,5.842025,42.479080,4.516223,193.000000,3909.000000,309.000000,74.650156,31.035577,-97.539186,0.627006,0.225062,0.579602,-0.469332,1961.094238,80677.242188,-0.460343,-0.285572,0.351562,-0.216797,-0.162240,0.000000,0.000000,0,202
101,20407,20389,1,1,1.141911,0.640066,9.777298,6.188162,-1.162333,-17.394737,0.894563,-0.228592,-0.653913,6.043685,42.255959,4.530839,226.000000,3870.000000,310.000000,72.327011,36.106067,-95.484829,0.651524,0.192107,0.583488,-0.445145,1961.089111,80675.234375,-0.390961,-0.411434,0.351562,-0.221924,-0.258543,0.000000,0.000000,0,202
101,20498,20389,1,1,1.141911,0.640066,9.777298,6.188162,-1.162333,-17.394737,0.894563,-0.228592,-0.653913,6.043685,42.255959,4.530839,226.000000,3870.000000,310.000000,72.327011,36.106067,-95.484829,0.651524,0.192107,0.583488,-0.445145,1961.089111,80675.234375,-0.390961,-0.411434,0.351562,-0.221924,-0.258543,0.000000,0.000000,0,202
101,20591,20588,1,1,1.153016,0.638520,9.791926,6.587941,-1.215510,-17.063269,-1.331289,-0.191628,0.263557,5.976465,42.307449,5.188541,215.000000,3879.000000,355.000000,71.135129,38.988581,-94.331524,0.663676,0.173728,0.586650,-0.430342,1961.126709,80674.429688,-0.310717,-0.640331,0.351562,-0.184326,-0.339567,0.000000,0.000000,0,202
101,20833,20777,1,1,1.186537,0.856254,9.808062,7.342384,-1.055877,-16.382309,-11.685864,0.062144,-0.987372,5.188158,42.255959,5.334697,86.000000,3870.000000,365.000000,70.195063,43.704212,-93.489396,0.676236,0.143894,0.597349,-0.406416,1961.065918,80677.343750,-0.278571,-0.298888,0.351562,-0.245117,-0.244417,0.000000,0.000000,0,202
101,20928,20911,1,1,1.156307,1.060041,9.660289,7.852858,-0.949164,-15.564126,-13.643764,-1.170846,1.137670,4.234856,42.845234,5.641625,-70.000000,3973.000000,386.000000,68.868367,47.917677,-91.985614,0.688796,0.118107,0.604354,-0.382580,1961.147095,80673.210938,-0.148483,-0.438297,0.351562,-0.163940,-0.283880,0.000000,0.000000,0,202
